309.026, 129.490, 4.253,  4.379 False
308.883, 129.490, 4.283,  4.412 False
308.740, 129.490, 4.316,  4.445 False
308.595, 129.490, 4.347,  4.478 False
308.449, 129.490, 4.379,  4.511 False
308.303, 129.490, 4.410,  4.544 False
308.155, 129.490, 4.442,  4.577 False
308.006, 129.490, 4.473,  4.610 False
307.856, 129.490, 4.505,  4.643 False
307.705, 129.490, 4.536,  4.676 False
307.553, 129.490, 4.568,  4.709 False
307.400, 129.490, 4.598,  4.742 False
307.246, 129.490, 4.631,  4.775 False
307.091, 129.490, 4.661,  4.808 False
306.935, 129.490, 4.693,  4.841 False
306.778, 129.491, 4.722,  4.874 False
306.619, 129.494, 4.753,  4.907 False
306.460, 129.497, 4.784,  4.940 False
306.300, 129.500, 4.816,  4.973 False
306.139, 129.504, 4.847,  5.006 False
305.976, 129.508, 4.879,  5.039 False
305.813, 129.512, 4.910,  5.072 False
305.648, 129.516, 4.942,  5.105 False
305.483, 129.521, 4.972,  5.138 False
305.317, 129.526, 5.004,  5.171 False
305.149, 129.532, 5.033,  5.204 False
304.981, 129.537, 5.067,  5.237 False
304.811, 129.543, 5.096,  5.270 False
304.641, 129.550, 5.129,  5.303 False
304.469, 129.557, 5.155,  5.336 False
304.297, 129.565, 5.172,  5.369 False
304.125, 129.572, 5.166,  5.402 False
303.954, 129.580, 5.163,  5.435 False
303.782, 129.589, 5.168,  5.468 False
303.609, 129.598, 5.184,  5.501 False
303.436, 129.607, 5.208,  5.534 False
303.262, 129.615, 5.242,  5.567 False
303.086, 129.624, 5.280,  5.600 False
302.909, 129.632, 5.323,  5.633 False
302.731, 129.641, 5.366,  5.666 False
302.551, 129.649, 5.412,  5.699 False
302.370, 129.658, 5.455,  5.732 False
302.187, 129.667, 5.498,  5.765 False
302.003, 129.676, 5.537,  5.798 False
301.817, 129.685, 5.577,  5.831 False
301.631, 129.694, 5.613,  5.864 False
301.443, 129.703, 5.650,  5.897 False
301.254, 129.712, 5.685,  5.930 False
301.064, 129.722, 5.721,  5.963 False
300.872, 129.733, 5.754,  5.996 False
300.680, 129.744, 5.790,  6.029 False
300.487, 129.755, 5.824,  6.062 False
300.292, 129.766, 5.859,  6.095 False
300.096, 129.776, 5.892,  6.128 False
299.899, 129.787, 5.927,  6.161 False
299.701, 129.798, 5.959,  6.194 False
299.502, 129.809, 5.993,  6.227 False
299.302, 129.820, 6.025,  6.260 False
299.101, 129.831, 6.059,  6.293 False
298.898, 129.843, 6.090,  6.326 False
298.695, 129.854, 6.124,  6.359 False
298.490, 129.866, 6.155,  6.392 False
298.285, 129.877, 6.189,  6.425 False
298.078, 129.889, 6.219,  6.458 False
297.870, 129.901, 6.253,  6.491 False
297.661, 129.913, 6.283,  6.524 False
297.452, 129.925, 6.316,  6.557 False
297.241, 129.938, 6.347,  6.590 False
297.029, 129.950, 6.379,  6.623 False
296.816, 129.962, 6.410,  6.656 False
296.602, 129.975, 6.442,  6.689 False
296.387, 129.987, 6.472,  6.722 False
296.171, 130.000, 6.505,  6.755 False
295.953, 130.012, 6.535,  6.788 False
295.735, 130.026, 6.567,  6.821 False
295.516, 130.039, 6.598,  6.854 False
295.296, 130.052, 6.631,  6.887 False
295.074, 130.066, 6.660,  6.920 False
294.852, 130.079, 6.692,  6.953 False
294.629, 130.092, 6.721,  6.986 False
294.404, 130.106, 6.752,  7.019 False
294.179, 130.119, 6.780,  7.052 False
293.953, 130.133, 6.811,  7.085 False
293.726, 130.147, 6.839,  7.118 False
293.497, 130.160, 6.869,  7.151 False
293.268, 130.175, 6.897,  7.184 False
293.038, 130.191, 6.928,  7.217 False
292.807, 130.206, 6.957,  7.250 False
292.575, 130.221, 6.988,  7.283 False
292.342, 130.236, 7.017,  7.316 False
292.107, 130.251, 7.048,  7.349 False
291.872, 130.265, 7.076,  7.382 False
291.636, 130.280, 7.107,  7.415 False
291.399, 130.295, 7.135,  7.448 False
291.161, 130.310, 7.166,  7.481 False
290.922, 130.325, 7.193,  7.514 False
290.682, 130.340, 7.224,  7.547 False
290.441, 130.355, 7.252,  7.580 False
290.199, 130.370, 7.283,  7.613 False
289.956, 130.385, 7.311,  7.646 False
289.712, 130.400, 7.342,  7.679 False
289.467, 130.415, 7.370,  7.712 False
289.221, 130.430, 7.401,  7.745 False
288.974, 130.446, 7.428,  7.778 False
288.726, 130.461, 7.459,  7.811 False
288.477, 130.476, 7.486,  7.844 False
288.228, 130.491, 7.517,  7.877 False
287.977, 130.505, 7.544,  7.910 False
287.725, 130.520, 7.575,  7.943 False
287.472, 130.535, 7.602,  7.976 False
287.218, 130.550, 7.633,  8.009 False
286.964, 130.564, 7.660,  8.042 False
286.708, 130.579, 7.691,  8.075 False
286.452, 130.594, 7.718,  8.108 False
286.194, 130.608, 7.749,  8.141 False
285.935, 130.623, 7.776,  8.174 False
285.676, 130.637, 7.807,  8.207 False
285.415, 130.652, 7.835,  8.240 False
285.154, 130.666, 7.866,  8.273 False
284.891, 130.680, 7.894,  8.306 False
284.628, 130.693, 7.924,  8.339 False
284.363, 130.705, 7.951,  8.372 False
284.098, 130.717, 7.983,  8.405 False
283.831, 130.729, 8.010,  8.438 False
283.563, 130.741, 8.042,  8.471 False
283.295, 130.753, 8.070,  8.504 False
283.025, 130.764, 8.101,  8.537 False
282.755, 130.774, 8.129,  8.570 False
282.483, 130.785, 8.161,  8.603 False
282.211, 130.794, 8.188,  8.636 False
281.937, 130.803, 8.219,  8.669 False
281.663, 130.812, 8.246,  8.702 False
281.387, 130.821, 8.270,  8.735 False
281.111, 130.829, 8.290,  8.768 False
280.835, 130.838, 8.306,  8.801 False
280.558, 130.846, 8.320,  8.834 False
280.280, 130.853, 8.332,  8.867 False
280.003, 130.860, 8.342,  8.900 False
279.725, 130.867, 8.351,  8.933 False
279.446, 130.873, 8.359,  8.966 False
279.168, 130.878, 8.365,  8.999 False
278.889, 130.882, 8.371,  9.032 False
278.610, 130.887, 8.376,  9.065 False
278.331, 130.892, 8.381,  9.098 False
278.051, 130.896, 8.385,  9.131 False
277.772, 130.901, 8.388,  9.164 False
277.492, 130.904, 8.391,  9.197 False
277.213, 130.908, 8.393,  9.230 False
276.933, 130.910, 8.394,  9.263 False
276.653, 130.913, 8.396,  9.296 False
276.374, 130.915, 8.398,  9.329 False
276.094, 130.916, 8.398,  9.362 False
275.814, 130.917, 8.399,  9.395 False
275.534, 130.918, 8.400,  9.428 False
275.254, 130.919, 8.401,  9.461 False
274.974, 130.920, 8.401,  9.494 False
274.694, 130.920, 8.401,  9.527 False
274.414, 130.920, 8.401,  9.560 False
274.134, 130.919, 8.400,  9.593 False
273.854, 130.919, 8.400,  9.626 False
273.574, 130.918, 8.400,  9.659 False
273.294, 130.917, 8.400,  9.692 False
273.014, 130.915, 8.399,  9.725 False
272.734, 130.913, 8.398,  9.758 False
272.454, 130.910, 8.398,  9.791 False
272.174, 130.908, 8.397,  9.824 False
271.895, 130.906, 8.396,  9.857 False
271.615, 130.903, 8.395,  9.890 False
271.335, 130.900, 8.394,  9.923 False
271.055, 130.897, 8.393,  9.956 False
270.776, 130.893, 8.393,  9.989 False
270.496, 130.890, 8.392, 10.022 False
270.216, 130.886, 8.391, 10.055 False
269.937, 130.882, 8.390, 10.088 False
269.657, 130.877, 8.389, 10.121 False
269.377, 130.873, 8.388, 10.154 False
269.098, 130.868, 8.387, 10.187 False
268.818, 130.862, 8.386, 10.220 False
268.539, 130.857, 8.385, 10.253 False
268.260, 130.852, 8.384, 10.286 False
267.980, 130.846, 8.383, 10.319 False
267.701, 130.840, 8.382, 10.352 False
267.422, 130.835, 8.381, 10.385 False
267.142, 130.829, 8.380, 10.418 False
266.863, 130.822, 8.379, 10.451 False
266.584, 130.816, 8.378, 10.484 False
266.305, 130.809, 8.377, 10.517 False
266.026, 130.802, 8.376, 10.550 False
265.746, 130.795, 8.375, 10.583 False
265.467, 130.788, 8.374, 10.616 False
265.188, 130.781, 8.373, 10.649 False
264.909, 130.774, 8.372, 10.682 False
264.630, 130.766, 8.372, 10.715 False
264.352, 130.759, 8.371, 10.748 False
264.073, 130.751, 8.370, 10.781 False
263.794, 130.743, 8.369, 10.814 False
263.515, 130.735, 8.368, 10.847 False
263.236, 130.727, 8.367, 10.880 False
262.957, 130.718, 8.367, 10.913 False
262.679, 130.710, 8.366, 10.946 False
262.400, 130.702, 8.365, 10.979 False
262.121, 130.693, 8.364, 11.012 False
261.843, 130.684, 8.364, 11.045 False
261.564, 130.675, 8.363, 11.078 False
261.285, 130.666, 8.362, 11.111 False
261.007, 130.657, 8.361, 11.144 False
260.728, 130.647, 8.361, 11.177 False
260.450, 130.638, 8.360, 11.210 False
260.171, 130.628, 8.359, 11.243 False
259.893, 130.618, 8.359, 11.276 False
259.614, 130.608, 8.358, 11.309 False
259.336, 130.598, 8.358, 11.342 False
259.058, 130.588, 8.357, 11.375 False
258.779, 130.578, 8.356, 11.408 False
258.501, 130.568, 8.356, 11.441 False
258.223, 130.558, 8.355, 11.474 False
257.944, 130.547, 8.355, 11.507 False
257.666, 130.537, 8.354, 11.540 False
257.388, 130.526, 8.354, 11.573 False
257.109, 130.515, 8.353, 11.606 False
256.831, 130.505, 8.353, 11.639 False
256.553, 130.494, 8.352, 11.672 False
256.275, 130.483, 8.352, 11.705 False
255.997, 130.472, 8.351, 11.738 False
255.719, 130.461, 8.351, 11.771 False
255.440, 130.450, 8.350, 11.804 False
255.162, 130.439, 8.350, 11.837 False
254.884, 130.428, 8.350, 11.870 False
254.606, 130.417, 8.349, 11.903 False
254.328, 130.406, 8.349, 11.936 False
254.050, 130.395, 8.348, 11.969 False
253.772, 130.383, 8.348, 12.002 False
253.494, 130.372, 8.348, 12.035 False
253.216, 130.360, 8.347, 12.068 False
252.938, 130.349, 8.347, 12.101 False
252.660, 130.338, 8.347, 12.134 False
252.382, 130.326, 8.346, 12.167 False
252.104, 130.315, 8.346, 12.200 False
251.826, 130.303, 8.346, 12.233 False
251.548, 130.291, 8.345, 12.266 False
251.270, 130.280, 8.345, 12.299 False
250.992, 130.268, 8.345, 12.332 False
250.714, 130.257, 8.344, 12.365 False
250.437, 130.245, 8.344, 12.398 False
250.159, 130.233, 8.344, 12.431 False
249.881, 130.221, 8.344, 12.464 False
249.603, 130.210, 8.343, 12.497 False
249.325, 130.198, 8.343, 12.530 False
249.047, 130.186, 8.343, 12.563 False
248.769, 130.175, 8.343, 12.596 False
248.492, 130.163, 8.342, 12.629 False
248.214, 130.150, 8.342, 12.662 False
247.936, 130.138, 8.342, 12.695 False
247.658, 130.126, 8.342, 12.728 False
247.380, 130.115, 8.341, 12.761 False
247.103, 130.103, 8.341, 12.794 False
246.825, 130.091, 8.341, 12.827 False
246.547, 130.079, 8.341, 12.860 False
246.269, 130.067, 8.341, 12.893 False
245.992, 130.055, 8.340, 12.926 False
245.714, 130.043, 8.340, 12.959 False
245.436, 130.031, 8.340, 12.992 False
245.158, 130.019, 8.340, 13.025 False
244.881, 130.007, 8.340, 13.058 False
244.603, 129.996, 8.340, 13.091 False
244.325, 129.984, 8.339, 13.124 False
244.047, 129.972, 8.339, 13.157 False
243.770, 129.960, 8.339, 13.190 False
243.492, 129.949, 8.339, 13.223 False
243.214, 129.937, 8.339, 13.256 False
242.936, 129.925, 8.339, 13.289 False
242.659, 129.914, 8.338, 13.322 False
242.381, 129.902, 8.338, 13.355 False
242.103, 129.891, 8.338, 13.388 False
241.826, 129.879, 8.338, 13.421 False
241.548, 129.868, 8.338, 13.454 False
241.270, 129.857, 8.338, 13.487 False
240.993, 129.845, 8.338, 13.520 False
240.715, 129.834, 8.338, 13.553 False
240.437, 129.823, 8.337, 13.586 False
240.159, 129.812, 8.337, 13.619 False
239.882, 129.801, 8.337, 13.652 False
239.604, 129.790, 8.337, 13.685 False
239.326, 129.779, 8.337, 13.718 False
239.049, 129.768, 8.337, 13.751 False
238.771, 129.757, 8.337, 13.784 False
238.493, 129.746, 8.337, 13.817 False
238.216, 129.735, 8.337, 13.850 False
237.938, 129.724, 8.337, 13.883 False
237.660, 129.714, 8.336, 13.916 False
237.383, 129.703, 8.336, 13.949 False
237.105, 129.693, 8.336, 13.982 False
236.827, 129.682, 8.336, 14.015 False
236.550, 129.672, 8.336, 14.048 False
236.272, 129.661, 8.336, 14.081 False
235.994, 129.651, 8.336, 14.114 False
235.717, 129.641, 8.336, 14.147 False
235.439, 129.631, 8.336, 14.180 False
235.161, 129.621, 8.336, 14.213 False
234.884, 129.611, 8.336, 14.246 False
234.606, 129.601, 8.336, 14.279 False
234.328, 129.591, 8.336, 14.312 False
234.051, 129.581, 8.335, 14.345 False
233.773, 129.572, 8.335, 14.378 False
233.495, 129.562, 8.335, 14.411 False
233.217, 129.552, 8.335, 14.444 False
232.940, 129.543, 8.335, 14.477 False
232.662, 129.534, 8.335, 14.510 False
232.384, 129.524, 8.335, 14.543 False
232.107, 129.515, 8.335, 14.576 False
231.829, 129.506, 8.335, 14.609 False
231.551, 129.497, 8.335, 14.642 False
231.274, 129.488, 8.335, 14.675 False
230.996, 129.479, 8.335, 14.708 False
230.718, 129.471, 8.335, 14.741 False
230.440, 129.462, 8.335, 14.774 False
230.163, 129.453, 8.335, 14.807 False
229.885, 129.445, 8.335, 14.840 False
229.607, 129.436, 8.335, 14.873 False
229.330, 129.428, 8.335, 14.906 False
229.052, 129.420, 8.335, 14.939 False
228.774, 129.411, 8.335, 14.972 False
228.497, 129.403, 8.334, 15.005 False
228.219, 129.395, 8.334, 15.038 False
227.941, 129.388, 8.334, 15.071 False
227.663, 129.380, 8.334, 15.104 False
227.386, 129.372, 8.334, 15.137 False
227.108, 129.364, 8.334, 15.170 False
226.830, 129.357, 8.334, 15.203 False
226.553, 129.349, 8.334, 15.236 False
226.275, 129.342, 8.334, 15.269 False
225.997, 129.335, 8.334, 15.302 False
225.720, 129.328, 8.334, 15.335 False
225.442, 129.322, 8.334, 15.368 False
225.164, 129.315, 8.334, 15.401 False
224.886, 129.308, 8.334, 15.434 False
224.609, 129.301, 8.334, 15.467 False
224.331, 129.295, 8.334, 15.500 False
224.053, 129.288, 8.334, 15.533 False
223.775, 129.282, 8.334, 15.566 False
223.498, 129.276, 8.334, 15.599 False
223.220, 129.270, 8.334, 15.632 False
222.942, 129.264, 8.334, 15.665 False
222.664, 129.258, 8.334, 15.698 False
222.387, 129.252, 8.334, 15.731 False
222.109, 129.246, 8.334, 15.764 False
221.831, 129.240, 8.334, 15.797 False
221.554, 129.235, 8.334, 15.830 False
221.276, 129.229, 8.334, 15.863 False
220.998, 129.224, 8.334, 15.896 False
220.720, 129.218, 8.334, 15.929 False
220.443, 129.213, 8.334, 15.962 False
220.165, 129.208, 8.334, 15.995 False
219.887, 129.203, 8.334, 16.028 False
219.609, 129.198, 8.334, 16.061 False
219.332, 129.194, 8.333, 16.094 False
219.054, 129.189, 8.333, 16.127 False
218.776, 129.185, 8.334, 16.160 False
218.498, 129.180, 8.334, 16.193 False
218.221, 129.176, 8.334, 16.226 False
217.943, 129.172, 8.334, 16.259 False
217.665, 129.168, 8.334, 16.292 False
217.387, 129.164, 8.334, 16.325 False
217.110, 129.160, 8.334, 16.358 False
216.832, 129.156, 8.334, 16.391 False
216.554, 129.152, 8.334, 16.424 False
216.276, 129.148, 8.333, 16.457 False
215.998, 129.145, 8.333, 16.490 False
215.721, 129.142, 8.333, 16.523 False
215.443, 129.138, 8.333, 16.556 False
215.165, 129.135, 8.333, 16.589 False
214.887, 129.132, 8.333, 16.622 False
214.610, 129.129, 8.333, 16.655 False
214.332, 129.126, 8.333, 16.688 False
214.054, 129.123, 8.333, 16.721 False
213.776, 129.121, 8.333, 16.754 False
213.499, 129.118, 8.333, 16.787 False
213.221, 129.115, 8.333, 16.820 False
212.943, 129.113, 8.333, 16.853 False
212.665, 129.111, 8.333, 16.886 False
212.387, 129.109, 8.333, 16.919 False
212.110, 129.106, 8.333, 16.952 False
211.832, 129.104, 8.333, 16.985 False
211.554, 129.102, 8.333, 17.018 False
211.276, 129.100, 8.333, 17.051 False
210.999, 129.098, 8.333, 17.084 False
210.721, 129.097, 8.333, 17.117 False
210.443, 129.095, 8.333, 17.150 False
210.165, 129.093, 8.333, 17.183 False
209.887, 129.092, 8.333, 17.216 False
209.610, 129.090, 8.333, 17.249 False
209.332, 129.089, 8.333, 17.282 False
209.054, 129.088, 8.333, 17.315 False
208.776, 129.086, 8.333, 17.348 False
208.499, 129.085, 8.333, 17.381 False
208.221, 129.084, 8.333, 17.414 False
207.943, 129.084, 8.333, 17.447 False
207.665, 129.083, 8.333, 17.480 False
207.387, 129.082, 8.333, 17.513 False
