-182.949, 73.934, 1.754,  4.603
-182.941, 73.876, 1.759,  4.636
-182.933, 73.818, 1.764,  4.669
-182.925, 73.760, 1.769,  4.702
-182.917, 73.701, 1.775,  4.735
-182.909, 73.642, 1.780,  4.768
-182.901, 73.583, 1.785,  4.801
-182.893, 73.524, 1.791,  4.834
-182.885, 73.465, 1.796,  4.867
-182.877, 73.406, 1.801,  4.900
-182.869, 73.346, 1.807,  4.933
-182.861, 73.286, 1.812,  4.966
-182.853, 73.226, 1.818,  4.999
-182.845, 73.166, 1.823,  5.032
-182.838, 73.105, 1.829,  5.065
-182.830, 73.045, 1.834,  5.098
-182.822, 72.984, 1.840,  5.131
-182.814, 72.923, 1.845,  5.164
-182.806, 72.862, 1.851,  5.197
-182.798, 72.801, 1.856,  5.230
-182.790, 72.739, 1.862,  5.263
-182.782, 72.677, 1.867,  5.296
-182.774, 72.616, 1.873,  5.329
-182.766, 72.553, 1.878,  5.362
-182.759, 72.491, 1.884,  5.395
-182.751, 72.429, 1.890,  5.428
-182.743, 72.366, 1.895,  5.461
-182.735, 72.303, 1.901,  5.494
-182.727, 72.240, 1.906,  5.527
-182.719, 72.177, 1.912,  5.560
-182.712, 72.114, 1.918,  5.593
-182.704, 72.050, 1.924,  5.626
-182.696, 71.986, 1.929,  5.659
-182.688, 71.922, 1.935,  5.692
-182.681, 71.858, 1.941,  5.725
-182.673, 71.794, 1.947,  5.758
-182.665, 71.729, 1.953,  5.791
-182.657, 71.664, 1.959,  5.824
-182.650, 71.599, 1.964,  5.857
-182.642, 71.534, 1.970,  5.890
-182.634, 71.469, 1.976,  5.923
-182.627, 71.403, 1.982,  5.956
-182.619, 71.337, 1.988,  5.989
-182.611, 71.271, 1.994,  6.022
-182.604, 71.205, 2.000,  6.055
-182.596, 71.139, 2.006,  6.088
-182.589, 71.072, 2.012,  6.121
-182.581, 71.005, 2.018,  6.154
-182.574, 70.938, 2.024,  6.187
-182.566, 70.871, 2.030,  6.220
-182.559, 70.804, 2.036,  6.253
-182.551, 70.736, 2.042,  6.286
-182.544, 70.668, 2.048,  6.319
-182.536, 70.600, 2.055,  6.352
-182.529, 70.532, 2.061,  6.385
-182.521, 70.464, 2.067,  6.418
-182.514, 70.395, 2.073,  6.451
-182.507, 70.326, 2.079,  6.484
-182.499, 70.257, 2.085,  6.517
-182.492, 70.188, 2.092,  6.550
-182.485, 70.118, 2.098,  6.583
-182.477, 70.048, 2.104,  6.616
-182.470, 69.978, 2.111,  6.649
-182.463, 69.908, 2.117,  6.682
-182.456, 69.838, 2.123,  6.715
-182.448, 69.767, 2.130,  6.748
-182.441, 69.697, 2.136,  6.781
-182.434, 69.626, 2.142,  6.814
-182.427, 69.554, 2.149,  6.847
-182.420, 69.483, 2.155,  6.880
-182.413, 69.411, 2.162,  6.913
-182.406, 69.339, 2.168,  6.946
-182.399, 69.267, 2.175,  6.979
-182.392, 69.195, 2.181,  7.012
-182.385, 69.122, 2.188,  7.045
-182.378, 69.050, 2.194,  7.078
-182.371, 68.977, 2.201,  7.111
-182.364, 68.903, 2.207,  7.144
-182.357, 68.830, 2.214,  7.177
-182.350, 68.756, 2.221,  7.210
-182.343, 68.682, 2.227,  7.243
-182.336, 68.608, 2.234,  7.276
-182.329, 68.534, 2.241,  7.309
-182.323, 68.459, 2.247,  7.342
-182.316, 68.385, 2.254,  7.375
-182.309, 68.310, 2.261,  7.408
-182.303, 68.234, 2.268,  7.441
-182.296, 68.159, 2.274,  7.474
-182.289, 68.083, 2.281,  7.507
-182.283, 68.007, 2.288,  7.540
-182.276, 67.931, 2.295,  7.573
-182.269, 67.855, 2.302,  7.606
-182.263, 67.778, 2.309,  7.639
-182.256, 67.701, 2.315,  7.672
-182.250, 67.624, 2.322,  7.705
-182.244, 67.547, 2.329,  7.738
-182.237, 67.469, 2.336,  7.771
-182.231, 67.391, 2.343,  7.804
-182.224, 67.313, 2.350,  7.837
-182.218, 67.235, 2.357,  7.870
-182.212, 67.157, 2.364,  7.903
-182.205, 67.078, 2.371,  7.936
-182.199, 66.999, 2.378,  7.969
-182.193, 66.920, 2.385,  8.002
-182.187, 66.840, 2.392,  8.035
-182.181, 66.761, 2.400,  8.068
-182.174, 66.681, 2.407,  8.101
-182.168, 66.600, 2.414,  8.134
-182.162, 66.520, 2.421,  8.167
-182.156, 66.439, 2.428,  8.200
-182.150, 66.358, 2.436,  8.233
-182.144, 66.277, 2.443,  8.266
-182.138, 66.196, 2.450,  8.299
-182.132, 66.114, 2.458,  8.332
-182.126, 66.032, 2.465,  8.365
-182.121, 65.950, 2.472,  8.398
-182.115, 65.868, 2.480,  8.431
-182.109, 65.785, 2.487,  8.464
-182.103, 65.702, 2.495,  8.497
-182.097, 65.619, 2.502,  8.530
-182.092, 65.536, 2.510,  8.563
-182.086, 65.452, 2.517,  8.596
-182.080, 65.368, 2.525,  8.629
-182.075, 65.284, 2.532,  8.662
-182.069, 65.200, 2.540,  8.695
-182.063, 65.115, 2.547,  8.728
-182.058, 65.030, 2.555,  8.761
-182.052, 64.945, 2.563,  8.794
-182.047, 64.859, 2.570,  8.827
-182.041, 64.774, 2.578,  8.860
-182.036, 64.688, 2.586,  8.893
-182.031, 64.601, 2.594,  8.926
-182.025, 64.515, 2.601,  8.959
-182.020, 64.428, 2.609,  8.992
-182.015, 64.341, 2.617,  9.025
-182.009, 64.254, 2.625,  9.058
-182.004, 64.166, 2.633,  9.091
-181.999, 64.078, 2.640,  9.124
-181.994, 63.990, 2.648,  9.157
-181.989, 63.902, 2.656,  9.190
